feature,coefficient,abs_coefficient,odds_ratio
tenure,-1.3148071780,1.3148071780,0.2685260960
contract_tenure_Two year | 0-12,-1.0705280385,1.0705280385,0.3428274435
contract_tenure_Two year | 13-24,-0.9391546430,0.9391546430,0.3909581949
Contract_Two year,-0.9316036162,0.9316036162,0.3939215047
contract_tenure_Two year | 49+,0.8330069411,0.8330069411,2.3002249928
MonthlyCharges,-0.7773776259,0.7773776259,0.4596097009
internet_contract_DSL | Two year,-0.6630580084,0.6630580084,0.5152732130
tenure_group_49+,0.6403968181,0.6403968181,1.8972335866
Contract_Month-to-month,0.5853592654,0.5853592654,1.7956359797
contract_tenure_Month-to-month | 0-12,0.5733151651,0.5733151651,1.7741388763
tenure_group_13-24,-0.5707458679,0.5707458679,0.5651037887
InternetService_DSL,-0.5270037601,0.5270037601,0.5903712161
tenure_group_0-12,-0.4961735099,0.4961735099,0.6088559894
internet_contract_Fiber optic | Month-to-month,0.4862355168,0.4862355168,1.6261829445
InternetService_Fiber optic,0.4779800097,0.4779800097,1.6128132424
internet_contract_No | One year,-0.4579484313,0.4579484313,0.6325800967
PaperlessBilling_No,-0.3664167390,0.3664167390,0.6932138518
TotalCharges,0.3636778228,0.3636778228,1.4386106520
contract_tenure_Month-to-month | 13-24,0.3441968806,0.3441968806,1.4108563784
MultipleLines_No,-0.3074614704,0.3074614704,0.7353111983
OnlineSecurity_No internet service,-0.3039162354,0.3039162354,0.7379226756
DeviceProtection_No internet service,-0.3039162354,0.3039162354,0.7379226756
StreamingMovies_No internet service,-0.3039162354,0.3039162354,0.7379226756
StreamingTV_No internet service,-0.3039162354,0.3039162354,0.7379226756
OnlineBackup_No internet service,-0.3039162354,0.3039162354,0.7379226756
TechSupport_No internet service,-0.3039162354,0.3039162354,0.7379226756
InternetService_No,-0.3039162354,0.3039162354,0.7379226756
Dependents_Yes,-0.2780500835,0.2780500835,0.7572588944
contract_tenure_Month-to-month | 49+,-0.2620261247,0.2620261247,0.7694909208
SeniorCitizen_0,-0.2543044387,0.2543044387,0.7754556874
total_services,0.2503593021,0.2503593021,1.2844868527
internet_contract_Fiber optic | Two year,-0.2500388253,0.2500388253,0.7787705465
contract_tenure_Two year | 25-48,0.2450721242,0.2450721242,1.2777134639
internet_contract_Fiber optic | One year,0.2417833182,0.2417833182,1.2735182147
OnlineSecurity_Yes,-0.2318602610,0.2318602610,0.7930569365
StreamingTV_No,-0.2104237217,0.2104237217,0.8102408566
PaymentMethod_Credit card (automatic),-0.2096438137,0.2096438137,0.8108730164
internet_contract_DSL | One year,0.2094694781,0.2094694781,1.2330237403
StreamingMovies_No,-0.2091913611,0.2091913611,0.8112399810
TechSupport_Yes,-0.2055379021,0.2055379021,0.8142092337
MultipleLines_No phone service,-0.1975408401,0.1975408401,0.8207466206
PhoneService_No,-0.1975408401,0.1975408401,0.8207466206
Partner_No,-0.1975022937,0.1975022937,0.8207782580
PaymentMethod_Bank transfer (automatic),-0.1973618070,0.1973618070,0.8208935745
gender_Female,-0.1860380808,0.1860380808,0.8302419781
OnlineSecurity_No,0.1828365106,0.1828365106,1.2006181038
PaymentMethod_Electronic check,0.1793371696,0.1793371696,1.1964240740
internet_contract_No | Month-to-month,0.1725389785,0.1725389785,1.1883181385
gender_Male,-0.1669019051,0.1669019051,0.8462826233
StreamingTV_Yes,0.1613999713,0.1613999713,1.1751549031
StreamingMovies_Yes,0.1601676107,0.1601676107,1.1737075804
TechSupport_No,0.1565141517,0.1565141517,1.1694273116
Partner_Yes,-0.1554376921,0.1554376921,0.8560404133
PhoneService_Yes,-0.1553991457,0.1553991457,0.8560734112
MultipleLines_Yes,0.1520623246,0.1520623246,1.1642327946
PaymentMethod_Mailed check,-0.1252715347,0.1252715347,0.8822573066
OnlineBackup_Yes,-0.1119000541,0.1119000541,0.8941336180
contract_tenure_One year | 25-48,-0.1013628947,0.1013628947,0.9036050599
SeniorCitizen_1,-0.0986355472,0.0986355472,0.9060728687
Dependents_No,-0.0748899023,0.0748899023,0.9278456343
tenure_group_25-48,0.0735825738,0.0735825738,1.0763574120
internet_contract_DSL | Month-to-month,-0.0734152298,0.0734152298,0.9292149122
contract_tenure_Month-to-month | 25-48,-0.0701266556,0.0701266556,0.9322757345
contract_tenure_One year | 49+,0.0694160017,0.0694160017,1.0718820211
OnlineBackup_No,0.0628763037,0.0628763037,1.0648951075
DeviceProtection_Yes,-0.0343459807,0.0343459807,0.9662371474
contract_tenure_One year | 13-24,0.0242118946,0.0242118946,1.0245073825
internet_contract_No | Two year,-0.0185067826,0.0185067826,0.9816634163
DeviceProtection_No,-0.0146777697,0.0146777697,0.9854294237
PaperlessBilling_Yes,0.0134767532,0.0134767532,1.0135679739
Contract_One year,-0.0066956350,0.0066956350,0.9933267308
contract_tenure_One year | 0-12,0.0010393635,0.0010393635,1.0010399038
