threshold,precision,recall,f1,tn,fp,fn,tp
0.2000000000,0.4717050018,0.8642140468,0.6102975909,2692,1447,203,1292
0.2200000000,0.4856700232,0.8387959866,0.6151582046,2811,1328,241,1254
0.2400000000,0.5057755776,0.8200668896,0.6256698137,2941,1198,269,1226
0.2600000000,0.5157531290,0.7993311037,0.6269674711,3017,1122,300,1195
0.2800000000,0.5318761384,0.7812709030,0.6328908155,3111,1028,327,1168
0.3000000000,0.5481840194,0.7571906355,0.6359550562,3206,933,363,1132
0.3200000000,0.5592272496,0.7357859532,0.6354708261,3272,867,395,1100
0.3400000000,0.5684713376,0.7163879599,0.6339153596,3326,813,424,1071
0.3600000000,0.5785354947,0.6923076923,0.6303288672,3385,754,460,1035
0.3800000000,0.5918727915,0.6722408027,0.6295020357,3446,693,490,1005
0.4000000000,0.5998759305,0.6468227425,0.6224654007,3494,645,528,967
0.4200000000,0.6150296638,0.6240802676,0.6195219124,3555,584,562,933
0.4400000000,0.6258741259,0.5986622074,0.6119658120,3604,535,600,895
0.4600000000,0.6364974246,0.5785953177,0.6061667835,3645,494,630,865
0.4800000000,0.6550116550,0.5638795987,0.6060388210,3695,444,652,843
0.5000000000,0.6686143573,0.5357859532,0.5948756034,3742,397,694,801
0.5200000000,0.6826666667,0.5137123746,0.5862595420,3782,357,727,768
0.5400000000,0.6900473934,0.4869565217,0.5709803922,3812,327,767,728
0.5600000000,0.7008196721,0.4575250836,0.5536220154,3847,292,811,684
0.5800000000,0.7084257206,0.4274247492,0.5331664581,3876,263,856,639
0.6000000000,0.7127532777,0.4000000000,0.5124250214,3898,241,897,598
0.6200000000,0.7258278146,0.3665551839,0.4871111111,3932,207,947,548
0.6400000000,0.7289855072,0.3364548495,0.4604118993,3952,187,992,503
0.6600000000,0.7430441899,0.3036789298,0.4311490978,3982,157,1041,454
0.6800000000,0.7743119266,0.2822742475,0.4137254902,4016,123,1073,422
0.7000000000,0.7894736842,0.2508361204,0.3807106599,4039,100,1120,375
